community_id,community_size
0,374
1,126
2,298
3,127
4,73
5,24
6,210
7,156
8,2
9,3
10,79
11,60
12,82
13,373
14,216
15,232
16,67
17,186
18,57
19,50
20,90
21,59
22,4
23,338
24,71
25,38
26,2
27,34
28,3
29,33
30,41
31,2
32,2
33,3
34,2
35,38
36,2
37,2
38,2
39,2
40,2
41,2
42,2
43,2
44,2
45,2
46,2
47,2
48,6
49,2
50,3
51,2
52,2
53,2
54,2
55,2
56,2
57,4
58,3
59,2
60,2
61,3
62,2
63,2
64,3
65,3
66,2
67,2
68,2
69,2
70,2
71,4
72,2
73,2
74,4
75,2
76,3
77,2
78,2
79,4
80,3
81,2
82,2
83,2
84,2
85,2
86,19
87,2
88,2
89,2
90,2
91,2
92,2
93,2
94,2
95,3
96,5
97,2
98,2
99,2
100,9
101,2
102,2
103,2
104,2
105,2
106,2
107,3
108,2
109,2
110,2
