rank,node
1,10138132
2,11130772
3,11142222
4,12369282
5,12973362
6,13008262
7,13763362
8,14055022
9,14109605
10,14110253
11,14126174
12,14133447
13,14161889
14,14239038
15,14516061
16,14521896
17,14647281
18,14731797
19,14866770
20,14951853
21,15038481
22,15073198
23,15162962
24,15225972
25,15374556
26,15468968
27,15499069
28,15830701
29,15838767
30,15861560
31,16261754
32,16428853
33,16505673
34,16617884
35,16784574
36,17100782
37,17335211
38,17416766
39,1756621
40,17630489
41,17713109
42,17831577
43,17918441
44,18010581
45,18132880
46,18257868
47,18280014
48,18343473
49,18608117
50,19012615
51,19022050
52,19024376
53,19176674
54,19215129
55,19451823
56,19461979
57,19479061
58,19520915
59,19624691
60,20311466
61,20613460
62,20790544
63,21072539
64,21128914
65,2119161
66,21193380
67,21463619
68,21475280
69,21624641
70,21800616
71,21808591
72,21818817
73,21841872
74,22216682
75,22498142
76,22545389
77,22668964
78,23381383
79,23428392
80,23875013
81,24068931
82,24129724
83,25681991
84,25710052
85,26467174
86,26950569
87,27646602
88,27706925
89,28552463
90,28777454
91,28992823
92,29468405
93,29893170
94,29941073
95,30412906
96,30734481
97,30988234
98,31351910
99,32368103
100,34120641
101,345863
102,36016773
103,38148115
104,38609291
105,39001941
106,39296425
107,40306549
108,40965202
109,41673488
110,5628242
111,5778852
112,5850832
113,591313
114,6898072
115,6979102
116,7519082
117,778150
118,804226
119,8077782
120,819191
