community_id,community_size
0,468
1,261
2,336
3,67
4,146
5,24
6,210
7,128
8,2
9,3
10,98
11,59
12,5
13,169
14,19
15,241
16,81
17,111
18,86
19,75
20,50
21,70
22,4
23,339
24,38
25,2
26,164
27,7
28,3
29,56
30,2
31,107
32,2
33,3
34,50
35,4
36,2
37,2
38,3
39,2
40,2
41,2
42,2
43,2
44,49
45,2
46,2
47,2
48,6
49,2
50,6
51,2
52,2
53,6
54,2
55,3
56,2
57,2
58,2
59,2
60,2
61,2
62,4
63,3
64,2
65,2
66,3
67,2
68,2
69,3
70,3
71,2
72,2
73,2
74,2
75,2
76,4
77,2
78,2
79,4
80,2
81,3
82,2
83,2
84,4
85,3
86,3
87,2
88,12
89,2
90,2
91,2
92,2
93,2
94,2
95,2
96,2
97,3
98,2
99,2
100,2
101,2
102,3
103,5
104,2
105,2
106,2
107,9
108,2
109,2
110,2
111,2
112,2
113,2
114,3
115,2
116,2
117,2
