rank,node
1,10214802
2,11069572
3,11142222
4,11963282
5,12062282
6,12429382
7,12650962
8,12787922
9,14108775
10,14142706
11,14251709
12,14268324
13,14326743
14,14338426
15,14516061
16,14625006
17,14763573
18,14788631
19,14930659
20,14951853
21,14986396
22,15068090
23,15258293
24,15294868
25,15495464
26,15751768
27,15791939
28,15844409
29,1584901
30,16350797
31,16394309
32,16394517
33,16399227
34,16411682
35,16499533
36,16505673
37,16782107
38,16855827
39,16980497
40,17156411
41,17322769
42,17326261
43,17416766
44,17451602
45,17864134
46,18059285
47,18132782
48,18279690
49,18361955
50,18745797
51,19024376
52,19041498
53,19176674
54,19391596
55,19451823
56,19461979
57,19543485
58,19624691
59,19664443
60,20536317
61,20708884
62,20788139
63,21463619
64,21588987
65,22183550
66,22461427
67,22545389
68,2264811
69,22744477
70,22832829
71,24119191
72,24535621
73,24640763
74,24800593
75,24910814
76,25389502
77,25663963
78,25840488
79,25967442
80,25982406
81,26467174
82,27107578
83,29089902
84,29147311
85,29465688
86,29468405
87,29613217
88,30059344
89,30412906
90,30556522
91,30736020
92,30919969
93,31205118
94,31285824
95,3224511
96,32706038
97,34172957
98,34189206
99,34876153
100,35782573
101,37458941
102,37527239
103,38473186
104,3936591
105,40512761
106,42312515
107,42390043
108,42578978
109,5699042
110,575263
111,6331202
112,6979102
113,790577
114,7909882
115,792609
116,8026012
117,8152512
118,819191
119,901731
120,9701722
