rank,node
1,10074432
2,11963282
3,12081592
4,1290661
5,13118432
6,13224342
7,13763362
8,13772282
9,14053148
10,14070830
11,14073382
12,14110253
13,14161889
14,14220561
15,14239038
16,14605765
17,14625006
18,14715516
19,14866770
20,14916450
21,14923674
22,14982693
23,14986396
24,15225972
25,15272006
26,15322509
27,15466457
28,15469032
29,15557309
30,15757811
31,15770608
32,15809173
33,15830701
34,15861560
35,16117890
36,16170886
37,16231946
38,16304739
39,16365985
40,16394309
41,16412744
42,16516106
43,16636919
44,16880649
45,16971414
46,16980497
47,16994507
48,17208441
49,17235460
50,17326261
51,17416766
52,17515749
53,17565994
54,1756621
55,17831577
56,18067465
57,18242426
58,18280014
59,18446235
60,18581294
61,18645243
62,19187629
63,19215129
64,19461979
65,19624691
66,19904805
67,20150376
68,20661527
69,20788139
70,20851551
71,21250871
72,21463619
73,21588987
74,21702193
75,22271534
76,22425685
77,22629977
78,2264811
79,23381383
80,23662170
81,2384071
82,24173927
83,24747785
84,25274236
85,25731254
86,26384168
87,26991891
88,27067262
89,27671298
90,27713882
91,28777454
92,29388899
93,29465688
94,29468405
95,29630488
96,29777851
97,29893170
98,31100873
99,345863
100,35478531
101,36560198
102,3669361
103,37458941
104,37989080
105,38058345
106,38550644
107,38813185
108,39729028
109,40449158
110,40581809
111,42024018
112,43028906
113,638663
114,6898072
115,7694572
116,7828252
117,7909882
118,7913222
119,819191
120,9791392
