rank,node
1,10214802
2,1147031
3,12369282
4,13008262
5,13159492
6,13258742
7,14073382
8,14110743
9,14126174
10,14212820
11,14255057
12,14268324
13,14279461
14,1431301
15,14326743
16,14372710
17,14464020
18,14516061
19,14527485
20,14625006
21,14680965
22,14799737
23,14837785
24,14866770
25,14986396
26,15068090
27,15070780
28,15113441
29,15194724
30,15220372
31,15285795
32,15439239
33,15473329
34,15513388
35,15730606
36,15750726
37,15777354
38,15791504
39,15791939
40,15840187
41,15929023
42,15964263
43,16040695
44,16188243
45,16213363
46,16573966
47,16585828
48,17221943
49,17416766
50,17498138
51,18014005
52,18112998
53,18166634
54,18606802
55,18725918
56,18745797
57,18826341
58,18983688
59,19094564
60,19187629
61,19461979
62,19484754
63,19520915
64,19546355
65,19584156
66,20234402
67,20788139
68,21428883
69,21463619
70,21491565
71,21706932
72,22078338
73,22183550
74,22210679
75,22547653
76,23160361
77,24266032
78,24535621
79,24644259
80,25389502
81,26384168
82,27109599
83,27667262
84,28697421
85,28992823
86,29089902
87,29103015
88,29388899
89,29468405
90,29613217
91,30336759
92,30412906
93,30556522
94,32617892
95,3267891
96,32706038
97,33839778
98,34396078
99,34838841
100,35026068
101,36883116
102,37289924
103,38273189
104,38361368
105,38596210
106,38609291
107,38843284
108,3898371
109,39001941
110,40732805
111,41387852
112,41905556
113,42390043
114,5378272
115,5628242
116,5699042
117,7067852
118,7594962
119,799192
120,9146202
