rank,node
1,10241462
2,10651272
3,11360912
4,11395432
5,12217472
6,12740012
7,12952252
8,13118432
9,13170292
10,13789152
11,13923382
12,14025482
13,14066623
14,14110253
15,14328764
16,14334981
17,14625006
18,14767753
19,14808468
20,14866770
21,14986396
22,15070923
23,15127424
24,15177325
25,15225972
26,15254525
27,15258293
28,15338937
29,15480002
30,15769442
31,15798850
32,15802312
33,15830701
34,15834790
35,1584901
36,15872224
37,15916174
38,16399227
39,16510377
40,16652658
41,16855827
42,16880649
43,16917389
44,16971414
45,17022135
46,17100782
47,17291344
48,17416766
49,18112363
50,18112998
51,18132880
52,18141609
53,182563
54,18675238
55,18826341
56,19215129
57,19461979
58,19546355
59,19765005
60,19849576
61,20346756
62,20352155
63,20613460
64,21377185
65,21463619
66,21501777
67,21841080
68,22039728
69,22343542
70,22811603
71,24129724
72,24173927
73,25033333
74,25232217
75,25343925
76,25463087
77,25552427
78,25663963
79,25803035
80,25920592
81,25967442
82,26434364
83,26513550
84,2677771
85,27662946
86,29308780
87,29650713
88,29941073
89,30412906
90,30702406
91,30734481
92,31245293
93,32706038
94,33672294
95,3388571
96,36883116
97,39179439
98,39282185
99,41068549
100,41479866
101,42254940
102,42884666
103,5074411
104,5522622
105,55843
106,5597882
107,5628242
108,5771302
109,59312688
110,6093352
111,651083
112,704563
113,7067852
114,7362232
115,7559112
116,7913222
117,890641
118,9131212
119,9153162
120,9697962
