rank,node
1,1086591
2,11379982
3,12174212
4,12369282
5,12429382
6,12740012
7,1290661
8,13258742
9,14170847
10,14181937
11,14219559
12,14239038
13,14253587
14,14625006
15,14866770
16,14879825
17,14982693
18,15006507
19,15197493
20,15225972
21,15385968
22,15585410
23,15838767
24,1584901
25,15880652
26,15954487
27,16153327
28,16286974
29,16338900
30,16460745
31,16505673
32,16543625
33,16784574
34,17022135
35,17248244
36,17275103
37,17357985
38,17416766
39,17877831
40,17924186
41,18112998
42,18116560
43,18201948
44,18446235
45,18503945
46,18532459
47,18594226
48,18943482
49,18970302
50,18983688
51,19215129
52,19461979
53,19543485
54,19546355
55,20088940
56,20311466
57,20771592
58,20788139
59,21231872
60,21463619
61,21543550
62,21661811
63,22463905
64,22604125
65,22668964
66,22675994
67,23236261
68,23367105
69,23428392
70,23569466
71,24119191
72,24155868
73,24920619
74,25172126
75,25552427
76,25920592
77,25982406
78,25988864
79,26061739
80,26694808
81,27109599
82,27568464
83,27706925
84,28377253
85,28682208
86,28736496
87,28777454
88,29308780
89,29468405
90,29650713
91,29893170
92,30336759
93,30412906
94,30556522
95,30702406
96,30821560
97,31205118
98,31285824
99,34635715
100,34701514
101,35026068
102,36874153
103,37809748
104,38512364
105,38555777
106,38609291
107,3898371
108,39161886
109,39495217
110,41387852
111,41688436
112,42498587
113,5422582
114,5699042
115,5988422
116,6686172
117,6842512
118,6963532
119,7105292
120,878441
