rank,node
1,11130772
2,11142222
3,11360912
4,11379982
5,12429382
6,12740012
7,14109605
8,14152810
9,14161889
10,14239038
11,14319626
12,14326743
13,14516061
14,14690638
15,14715516
16,14866770
17,14923674
18,14951853
19,14986396
20,15073198
21,15113441
22,15291641
23,15297709
24,15468968
25,15481749
26,15495464
27,15830701
28,1584901
29,15861560
30,16040695
31,16090877
32,16213363
33,16487708
34,16499533
35,16505673
36,16782107
37,16784574
38,16796298
39,16926826
40,17326261
41,17416766
42,17431643
43,17850268
44,18067465
45,18112998
46,18132880
47,18156806
48,18166634
49,182563
50,18280014
51,1833431
52,18608117
53,18826341
54,18943482
55,19215129
56,19391596
57,19451823
58,19461979
59,19520915
60,19546355
61,20150376
62,20268544
63,20788139
64,20790544
65,2119161
66,21463619
67,21488707
68,21588987
69,21712968
70,21800616
71,21808591
72,21818817
73,22078338
74,22104014
75,22216682
76,22545389
77,22554654
78,22570815
79,23381383
80,23428392
81,23480093
82,23678749
83,24129724
84,24879395
85,24987071
86,27005052
87,27109599
88,27667262
89,27817171
90,28736496
91,29109370
92,29308780
93,29468405
94,29613217
95,29893170
96,30296618
97,30412906
98,30507566
99,30919969
100,31351910
101,34120641
102,35329667
103,37458941
104,38093134
105,39001941
106,40306549
107,41673488
108,5422582
109,5628242
110,575263
111,6601682
112,6750102
113,6898072
114,704563
115,7396282
116,778150
117,799192
118,812823
119,819191
120,8828892
