rank,node
1,1112751
2,11288162
3,13763362
4,13772282
5,13936882
6,14102919
7,14110743
8,14204887
9,14268324
10,1431301
11,14326743
12,14333927
13,14372710
14,14516061
15,14527485
16,14625006
17,14680965
18,14727321
19,14770241
20,14866770
21,14916450
22,14951244
23,14982693
24,14986396
25,15013313
26,15070780
27,15113441
28,15194724
29,15225972
30,15251252
31,15357283
32,15422070
33,15513388
34,15791939
35,15823113
36,15838767
37,15911231
38,15964263
39,16152223
40,16166839
41,16403341
42,16487708
43,16499557
44,16784574
45,16884008
46,17291344
47,17398289
48,17416766
49,18014005
50,18112998
51,18166634
52,182563
53,18745797
54,18826341
55,18983688
56,19396079
57,19401409
58,19461979
59,19520915
60,19546355
61,19584156
62,19904805
63,20109855
64,20199133
65,20650869
66,20708884
67,20745227
68,20788139
69,21250871
70,21428883
71,21463619
72,21526244
73,21653078
74,21841080
75,22078338
76,22183550
77,22498142
78,23428392
79,23662170
80,23967016
81,24661292
82,24800593
83,25389502
84,25618697
85,25975653
86,26061739
87,26951888
88,27109599
89,28136273
90,28432226
91,28697421
92,28756867
93,29089902
94,29103015
95,29461507
96,29468405
97,30063657
98,30412906
99,30556522
100,30702406
101,32617892
102,3267891
103,33839778
104,36883116
105,38499508
106,38609291
107,38813185
108,38843284
109,40732805
110,41197349
111,42390043
112,5628242
113,575263
114,6331792
115,7067852
116,7519082
117,7594962
118,7610242
119,7909882
120,9939382
