rank,node
1,10074432
2,10722102
3,11767072
4,12081592
5,12114432
6,12217472
7,12369282
8,12740012
9,13473852
10,13789152
11,14110253
12,14334981
13,14450630
14,14464020
15,14625006
16,14690638
17,14763573
18,14790224
19,14794913
20,14808468
21,14866770
22,14986396
23,15105099
24,15162962
25,15220372
26,15225972
27,15258293
28,15480002
29,15481749
30,15592537
31,15798850
32,15802312
33,15844557
34,1584901
35,15916174
36,16099100
37,16304739
38,16394309
39,16428901
40,16510377
41,16652658
42,16830375
43,16880649
44,16971414
45,17022135
46,17275103
47,17291344
48,17326261
49,17359791
50,17416766
51,18010581
52,18112998
53,18116560
54,18132880
55,182563
56,18826341
57,18975155
58,19187629
59,19461979
60,19546355
61,19765005
62,19792412
63,19849576
64,20082550
65,20109855
66,20352155
67,20510315
68,20650869
69,20851551
70,20863618
71,21463619
72,21841080
73,22025998
74,22284693
75,22545389
76,22578352
77,22975077
78,23799941
79,25343925
80,25552427
81,25803035
82,25850372
83,25967442
84,26513550
85,2677771
86,27662946
87,28552463
88,29388899
89,29650713
90,29692115
91,30412906
92,30702406
93,30994019
94,31245293
95,32706038
96,33568241
97,3388571
98,34339684
99,34838841
100,36074855
101,36727137
102,36883116
103,38273189
104,38609291
105,39179439
106,41479866
107,42254940
108,42884666
109,43311708
110,5522622
111,5597882
112,5628242
113,5771302
114,651083
115,67763
116,7067852
117,7913222
118,8053532
119,9153162
120,9697962
