node_id,candidate_group,node,protected_group,ml_score,graphsage_pred_score,graphsage_embedding_norm,ris_score,fair_ris_score,shortfall_gain,group_quota,current_group_seed_count,group_shortfall_ratio,dynamic_shortfall_gain,candidate_group_shortfall_ratio,dynamic_shortfall_bonus,shortfall_weighted_fair_ris_score,fairness_bonus,weak_group_bonus,community_diversity_bonus,community_diversity_score,cluster_diversity_bonus,cluster_coverage_bonus,ingroup_ris_score,protected_group_coverage_bonus,spread_proxy_score,under_served_group_bonus,over_served_group_penalty,parity_adjusted_score,base_combined_score,target_deficit_adjusted_score,combined_score,score_normalization,community_id
0,northwest_antelope_valley,0,northwest_antelope_valley,1.0,1.0,1.0,1.0,1.0,1.0,1,0,1.0,0.04527754763877382,1.0,0.04527754763877382,1.045277547638774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39425837320574164,0.7155889645860861,0.0,0.0,8.659626503656954,8.591710182198794,8.659626503656954,8.659626503656954,per_group,0
1,northwest_antelope_valley,1,northwest_antelope_valley,0.9599840241828872,0.9599840241828872,0.9629683420713215,1.0,1.0,1.0,1,0,1.0,0.04527754763877382,1.0,0.04527754763877382,1.045277547638774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39425837320574164,1.0,0.0,0.0,8.712937033627437,8.645020712169277,8.712937033627437,8.712937033627437,per_group,0
10,northeast_antelope_valley,10,northeast_antelope_valley,1.0,1.0,1.0,1.0,1.0,0.0,1,0,1.0,0.045981772990886495,1.0,0.045981772990886495,1.0459817729908865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.278879015721121,0.8181363880213861,0.0,0.0,5.22992963877723,5.1609569792909,5.22992963877723,5.22992963877723,per_group,0
100,lancaster,100,lancaster,0.05258765139306442,0.05258765139306442,0.09723883142297549,0.1,0.1,0.0,17,0,1.0,0.7767605633802817,1.0,0.7767605633802817,0.1776760563380282,0.0,0.0,0.10256410256410263,0.10256410256410263,0.0,0.0,0.0,0.0,0.18327261874821132,0.0,0.0,1.6134748030913888,0.44833395802096626,1.6134748030913888,1.6134748030913888,per_group,1
101,lancaster,101,lancaster,0.24963277838380094,0.24963277838380094,0.15285968494428254,0.1,0.1,0.0,17,0,1.0,0.7767605633802817,1.0,0.7767605633802817,0.1776760563380282,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2560759070514373,0.0,0.0,2.2416698398928947,1.0765289948224719,2.2416698398928947,2.2416698398928947,per_group,2
102,lancaster,102,lancaster,0.2799808436333898,0.2799808436333898,0.18287216812837817,0.2,0.2,0.0,17,0,1.0,0.7767605633802817,1.0,0.7767605633802817,0.3553521126760564,0.0,0.0,0.6464646464646464,0.6464646464646464,0.0,0.0,0.0,0.0,0.3003064015812969,0.0,0.0,2.4024497636838467,1.2373089186134243,2.4024497636838467,2.4024497636838467,per_group,3
103,lancaster,103,lancaster,0.2488635735860979,0.2488635735860979,0.2139097194260527,0.3,0.29999999999999993,0.0,17,0,1.0,0.7767605633802817,1.0,0.7767605633802817,0.5330281690140843,0.0,0.0,0.2857142857142859,0.2857142857142859,0.0,0.0,0.0,0.0,0.12626217367695391,0.0,0.0,2.44496749889953,1.2798266538291074,2.44496749889953,2.44496749889953,per_group,4
104,lancaster,104,lancaster,0.06246992173198866,0.06246992173198866,0.19077951799518422,0.1,0.1,0.0,17,0,1.0,0.7767605633802817,1.0,0.7767605633802817,0.1776760563380282,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.3895022120803622,0.0,0.0,2.520856334969011,1.3557154898985886,2.520856334969011,2.520856334969011,per_group,5
105,lancaster,105,lancaster,0.5262424971513365,0.5262424971513365,0.38992978151657126,0.5,0.5,0.0,17,0,1.0,0.7767605633802817,1.0,0.7767605633802817,0.8883802816901408,0.0,0.0,0.6464646464646464,0.6464646464646464,0.0,0.0,0.0,0.0,0.1733899922380571,0.0,0.0,3.4613841636952323,2.2962433186248097,3.4613841636952323,3.4613841636952323,per_group,3
106,lancaster,106,lancaster,0.3775827328006246,0.3775827328006246,0.28904148011956793,0.3,0.29999999999999993,0.0,17,0,1.0,0.7767605633802817,1.0,0.7767605633802817,0.5330281690140843,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.13206340056539115,0.0,0.0,2.9068260514805395,1.741685206410117,2.9068260514805395,2.9068260514805395,per_group,2
