rank,node
1,11360912
2,11379982
3,11819122
4,12174212
5,12429382
6,12740012
7,1290661
8,13258742
9,14110253
10,14110743
11,14125985
12,14181937
13,14253587
14,14564657
15,14625006
16,14849301
17,14849643
18,14866770
19,14879825
20,14982693
21,15011971
22,15070780
23,15197493
24,15225972
25,15385968
26,15750726
27,15838767
28,1584901
29,15865288
30,15878694
31,15880652
32,15929023
33,16045488
34,16338900
35,16426613
36,16428853
37,16645520
38,16670897
39,16730276
40,16784574
41,17173819
42,17282551
43,17326261
44,17416766
45,17831577
46,17987925
47,18067465
48,18198300
49,18201948
50,18229692
51,18446235
52,18448748
53,18531868
54,18983688
55,19063796
56,19215129
57,19461979
58,19546355
59,19765005
60,20088940
61,20091551
62,20253599
63,20322060
64,20771592
65,20788139
66,21463619
67,21543550
68,21583614
69,21712968
70,22604125
71,22668964
72,22675994
73,23428392
74,23569466
75,23713679
76,24119191
77,24155868
78,24661292
79,25172126
80,25500750
81,25552427
82,25677530
83,25920592
84,25929128
85,25982406
86,26061739
87,26467174
88,27109599
89,27568464
90,28736496
91,28777454
92,28992823
93,29468405
94,30336759
95,30412906
96,30556522
97,31205118
98,31285824
99,33095128
100,35026068
101,35288445
102,36074855
103,37289924
104,39161886
105,39282185
106,39495217
107,39856692
108,41387852
109,42007859
110,42140578
111,5628622
112,5807732
113,5988422
114,6686172
115,6963532
116,6979102
117,7909882
118,878441
119,8971572
120,9791392
