rank,node
1,10214802
2,1147031
3,12369282
4,13008262
5,13159492
6,13258742
7,14073382
8,14110743
9,14126174
10,14212820
11,14255057
12,14268324
13,14279461
14,14326743
15,14372710
16,14464020
17,14516061
18,14527485
19,14625006
20,14680965
21,14799737
22,14837785
23,14866770
24,14986396
25,15068090
26,15070780
27,15194724
28,15220372
29,15285795
30,15439239
31,15473329
32,15513388
33,15730606
34,15750726
35,15777354
36,15791504
37,15808140
38,15840187
39,15929023
40,15964263
41,16040695
42,16188243
43,16213363
44,16573966
45,16585828
46,17090151
47,17221943
48,17416766
49,17498138
50,18014005
51,18112998
52,18166634
53,18606802
54,18725918
55,18745797
56,18826341
57,18983688
58,19094564
59,19187629
60,19461979
61,19484754
62,19520915
63,19543485
64,19584156
65,20234402
66,20788139
67,21428883
68,21463619
69,21491565
70,21706932
71,22078338
72,22183550
73,22210679
74,22547653
75,23160361
76,24266032
77,24535621
78,24644259
79,25389502
80,26384168
81,27109599
82,27667262
83,28697421
84,28992823
85,29089902
86,29103015
87,29388899
88,29468405
89,29613217
90,30098626
91,30336759
92,30412906
93,30556522
94,32150710
95,32617892
96,3267891
97,32706038
98,33839778
99,34396078
100,34838841
101,35026068
102,36883116
103,37289924
104,38273189
105,38361368
106,38596210
107,38609291
108,38843284
109,3898371
110,39001941
111,40732805
112,41387852
113,41905556
114,42390043
115,5378272
116,5699042
117,7067852
118,7594962
119,799192
120,9516202
