rank,node
1,10284152
2,1112751
3,11360912
4,1147031
5,12369282
6,12787922
7,13051142
8,13763362
9,14109605
10,14110743
11,14129238
12,14268324
13,14307465
14,1431301
15,14420451
16,14464020
17,14479592
18,14483590
19,14625006
20,14767753
21,14858006
22,14866770
23,14982693
24,14986396
25,15157283
26,15194724
27,15225972
28,15468968
29,15592537
30,15791939
31,15865288
32,15929023
33,16304739
34,16519098
35,16586626
36,16730276
37,16796298
38,16855827
39,16884008
40,16986733
41,17291344
42,17316916
43,17357985
44,17416766
45,17918441
46,18014005
47,18826341
48,18983688
49,19198433
50,19396079
51,19461979
52,19520915
53,19544422
54,19549139
55,19624691
56,20635870
57,20661527
58,20788139
59,21231872
60,21463619
61,21554726
62,21706932
63,22078338
64,22169218
65,22183550
66,22210679
67,22606755
68,23134293
69,23456569
70,23967016
71,24222115
72,24661292
73,24876633
74,25500750
75,25602221
76,25803035
77,25889080
78,25975653
79,27109599
80,27486099
81,27684535
82,28432226
83,28777454
84,29103015
85,29308780
86,29468405
87,29596691
88,30412906
89,30736021
90,30821560
91,31351910
92,3267891
93,33347300
94,33433404
95,34396078
96,345863
97,34838841
98,35395620
99,35478531
100,36883116
101,38189795
102,38361368
103,38813185
104,39179439
105,39859453
106,40581809
107,42149443
108,42351915
109,42390043
110,5699042
111,5934642
112,6331792
113,7315022
114,7561302
115,7594962
116,7909882
117,795448
118,876061
119,878441
120,9983972
