rank,node
1,1007
2,1137
3,1159
4,1237
5,1315
6,1318
7,1324
8,1335
9,1506
10,1792
11,1822
12,1849
13,2014
14,2113
15,2121
16,231
17,2333
18,2347
19,2411
20,2495
21,2628
22,2659
23,2684
24,2806
25,2868
26,2889
27,2908
28,3034
29,3145
30,3161
31,3259
32,3295
33,3307
34,333
35,3364
36,3782
37,3838
38,3854
39,3872
40,4036
41,4058
42,4209
43,4257
44,4436
45,4446
46,4572
47,4633
48,4671
49,4727
50,4854
51,4980
52,5107
53,5234
54,5351
55,5513
56,5615
57,5625
58,5716
59,5730
60,5834
61,5913
62,593
63,616
64,655
65,695
66,737
67,817
68,822
69,947
70,97
