community_id,community_size
0,450
1,301
2,360
3,76
4,111
5,24
6,215
7,59
8,104
9,2
10,3
11,69
12,90
13,5
14,170
15,19
16,233
17,162
18,128
19,71
20,104
21,94
22,49
23,56
24,4
25,329
26,51
27,51
28,2
29,29
30,3
31,2
32,2
33,3
34,79
35,4
36,2
37,5
38,2
39,2
40,2
41,2
42,2
43,2
44,2
45,2
46,2
47,6
48,2
49,2
50,2
51,6
52,2
53,3
54,2
55,2
56,2
57,2
58,2
59,2
60,4
61,3
62,2
63,2
64,5
65,3
66,2
67,2
68,3
69,3
70,2
71,2
72,2
73,2
74,2
75,4
76,2
77,2
78,4
79,2
80,3
81,2
82,2
83,4
84,3
85,3
86,2
87,12
88,2
89,2
90,2
91,2
92,2
93,24
94,2
95,2
96,2
97,3
98,2
99,2
100,2
101,2
102,3
103,5
104,2
105,2
106,2
107,9
108,2
109,2
110,2
111,2
112,2
113,2
114,3
115,2
116,2
117,2
