generation,best_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set
0,-0.020343617664851793,8.75,0.0020326678765880215,0.042719903206291605,-0.04126597683713374,0.7363636363636363,"[11350892, 16004411, 17850012, 2384071]"
1,-0.020343617664851793,8.75,0.0020326678765880215,0.042719903206291605,-0.0288761229609802,0.7015873015873015,"[11350892, 16004411, 17850012, 2384071]"
2,-0.020343617664851793,8.75,0.0020326678765880215,0.042719903206291605,-0.0288761229609802,0.7015873015873015,"[11350892, 16004411, 17850012, 2384071]"
3,-0.020343617664851793,8.75,0.0020326678765880215,0.042719903206291605,-0.028269088285063314,0.7285714285714288,"[11350892, 16004411, 17850012, 2384071]"
4,-0.005120019877279436,6.95,0.0017857142857142857,0.012025754040273158,-0.022990517572306624,0.7101010101010101,"[2384071, 25681991, 5054721, 770441]"
5,-0.005120019877279436,6.95,0.0017857142857142857,0.012025754040273158,-0.022990517572306624,0.7101010101010101,"[2384071, 25681991, 5054721, 770441]"
6,-0.005120019877279436,6.95,0.0017857142857142857,0.012025754040273158,-0.021130063351954248,0.7376623376623378,"[2384071, 25681991, 5054721, 770441]"
7,-0.005120019877279436,6.95,0.0017857142857142857,0.012025754040273158,-0.019791358743266676,0.7864357864357864,"[2384071, 25681991, 5054721, 770441]"
8,-0.005120019877279436,6.95,0.0017857142857142857,0.012025754040273158,-0.019791358743266676,0.7864357864357864,"[2384071, 25681991, 5054721, 770441]"
9,-0.005120019877279436,6.95,0.0017857142857142857,0.012025754040273158,-0.019791358743266676,0.7864357864357864,"[2384071, 25681991, 5054721, 770441]"
