node_id,community_id,community_size
1,0,38
10,1,43
100,2,53
101,0,38
102,1,43
103,3,37
104,2,53
105,4,65
106,3,37
107,0,38
108,3,37
109,4,65
11,5,46
110,1,43
111,0,38
112,6,42
113,3,37
114,2,53
115,0,38
116,4,65
117,4,65
118,2,53
119,6,42
12,4,65
120,4,65
121,4,65
122,0,38
123,0,38
124,4,65
125,2,53
126,3,37
127,1,43
128,5,46
129,3,37
13,4,65
130,4,65
131,1,43
132,4,65
133,4,65
134,5,46
135,3,37
136,3,37
137,4,65
138,1,43
139,6,42
14,0,38
140,1,43
141,5,46
142,5,46
143,3,37
144,0,38
145,6,42
146,1,43
147,2,53
148,1,43
149,3,37
15,1,43
150,4,65
151,6,42
152,0,38
153,4,65
154,1,43
155,2,53
156,4,65
157,4,65
158,3,37
159,6,42
16,3,37
160,2,53
161,4,65
162,5,46
163,4,65
164,3,37
165,3,37
166,3,37
167,4,65
168,5,46
169,6,42
17,4,65
170,6,42
171,4,65
172,1,43
173,0,38
174,0,38
175,5,46
176,3,37
177,0,38
178,1,43
179,5,46
18,2,53
180,1,43
181,0,38
182,3,37
183,4,65
184,4,65
185,5,46
186,3,37
187,0,38
188,6,42
189,6,42
19,0,38
190,4,65
191,0,38
192,2,53
193,6,42
194,5,46
195,6,42
196,3,37
197,2,53
198,1,43
199,6,42
2,4,65
20,6,42
200,3,37
201,1,43
202,3,37
203,4,65
204,2,53
205,6,42
206,6,42
207,2,53
208,6,42
209,6,42
21,2,53
210,4,65
211,2,53
212,0,38
213,5,46
214,4,65
215,5,46
216,2,53
217,5,46
218,4,65
219,2,53
22,5,46
220,5,46
221,2,53
222,1,43
223,2,53
224,0,38
225,4,65
226,3,37
227,3,37
228,5,46
229,5,46
23,1,43
230,1,43
231,6,42
232,5,46
233,3,37
234,4,65
235,6,42
236,0,38
237,2,53
238,5,46
239,4,65
24,0,38
240,4,65
241,0,38
242,1,43
243,6,42
244,1,43
245,5,46
246,5,46
247,2,53
248,1,43
249,5,46
25,6,42
250,1,43
251,5,46
252,6,42
253,1,43
254,5,46
255,5,46
256,0,38
257,1,43
258,1,43
259,4,65
26,1,43
260,2,53
261,5,46
262,5,46
263,5,46
264,4,65
265,6,42
266,4,65
267,4,65
268,2,53
269,3,37
27,5,46
270,5,46
271,4,65
272,2,53
273,1,43
274,2,53
275,5,46
276,6,42
277,2,53
278,2,53
279,4,65
28,2,53
280,6,42
281,5,46
282,1,43
283,6,42
284,5,46
285,5,46
286,4,65
287,2,53
288,0,38
289,4,65
29,5,46
290,4,65
291,5,46
292,5,46
293,0,38
294,2,53
295,4,65
296,4,65
297,4,65
298,1,43
299,6,42
3,0,38
30,6,42
300,3,37
301,2,53
302,2,53
303,7,103
304,8,2
305,7,103
306,7,103
307,7,103
308,7,103
309,7,103
31,2,53
310,7,103
311,7,103
312,6,42
313,7,103
314,7,103
315,7,103
316,7,103
317,7,103
318,7,103
319,7,103
32,2,53
320,7,103
321,4,65
322,7,103
323,7,103
324,7,103
325,7,103
326,9,1
327,7,103
328,7,103
329,7,103
33,0,38
330,7,103
331,7,103
332,7,103
333,7,103
334,7,103
335,7,103
336,7,103
337,7,103
338,7,103
339,7,103
34,4,65
340,7,103
341,7,103
342,7,103
343,7,103
344,7,103
345,6,42
346,7,103
347,7,103
348,7,103
349,7,103
35,1,43
350,7,103
351,7,103
352,7,103
353,7,103
354,7,103
355,2,53
356,7,103
357,7,103
358,7,103
359,7,103
36,5,46
360,7,103
361,0,38
362,7,103
363,7,103
364,7,103
365,7,103
366,7,103
367,7,103
368,7,103
369,7,103
37,3,37
370,7,103
371,7,103
372,7,103
373,6,42
374,7,103
375,7,103
376,7,103
377,7,103
378,7,103
379,2,53
38,6,42
380,7,103
381,7,103
382,7,103
383,2,53
384,7,103
385,2,53
386,7,103
387,7,103
388,7,103
389,7,103
39,5,46
390,7,103
391,7,103
392,7,103
393,7,103
394,2,53
395,7,103
396,7,103
397,3,37
398,7,103
399,7,103
4,5,46
40,2,53
400,10,2
401,6,42
402,7,103
403,7,103
404,0,38
405,7,103
406,7,103
407,7,103
408,7,103
409,7,103
41,6,42
410,7,103
411,7,103
412,7,103
413,7,103
414,7,103
415,0,38
416,10,2
417,7,103
418,7,103
419,7,103
42,1,43
420,2,53
421,7,103
422,0,38
423,8,2
424,7,103
425,7,103
426,11,53
427,11,53
428,11,53
429,12,1
43,2,53
430,11,53
431,11,53
432,11,53
433,11,53
434,13,1
435,11,53
436,11,53
437,11,53
438,11,53
439,11,53
44,4,65
440,11,53
441,11,53
442,1,43
443,11,53
444,14,1
445,11,53
446,15,2
447,1,43
448,16,1
449,17,1
45,3,37
450,11,53
451,11,53
452,18,1
453,19,1
454,11,53
455,11,53
456,11,53
457,11,53
458,11,53
459,11,53
46,5,46
460,11,53
461,3,37
462,11,53
463,20,1
464,11,53
465,11,53
466,21,1
467,11,53
468,11,53
469,11,53
47,2,53
470,22,1
471,11,53
472,23,1
473,11,53
474,1,43
475,11,53
476,11,53
477,11,53
478,11,53
479,11,53
48,5,46
480,11,53
481,11,53
482,11,53
483,11,53
484,11,53
485,11,53
486,11,53
487,2,53
488,11,53
489,3,37
49,0,38
490,11,53
491,11,53
492,11,53
493,11,53
494,7,103
495,15,2
496,11,53
497,11,53
498,24,1
499,25,1
5,2,53
50,4,65
500,11,53
51,2,53
52,0,38
53,4,65
54,6,42
55,4,65
56,2,53
57,2,53
58,3,37
59,4,65
6,1,43
60,1,43
61,2,53
62,4,65
63,3,37
64,6,42
65,5,46
66,2,53
67,4,65
68,0,38
69,1,43
7,6,42
70,3,37
71,3,37
72,4,65
73,3,37
74,4,65
75,4,65
76,4,65
77,5,46
78,4,65
79,3,37
8,2,53
80,4,65
81,1,43
82,4,65
83,2,53
84,6,42
85,1,43
86,6,42
87,4,65
88,0,38
89,0,38
9,4,65
90,1,43
91,6,42
92,2,53
93,0,38
94,6,42
95,1,43
96,5,46
97,4,65
98,1,43
99,0,38
