rank,node
1,10284152
2,1086591
3,11379982
4,11672342
5,12062282
6,13116482
7,13232092
8,14087968
9,14109605
10,14110743
11,14161889
12,14181937
13,14204887
14,14326743
15,14420451
16,14581841
17,14625006
18,14680965
19,14763573
20,14849301
21,14866770
22,14916450
23,14986396
24,15194724
25,15225972
26,15258293
27,15326799
28,15437590
29,15469032
30,15513388
31,15838767
32,1584901
33,16040695
34,16214306
35,16304739
36,16356533
37,16487708
38,16505673
39,16541717
40,16851290
41,16855827
42,17398289
43,17416766
44,17514047
45,17537187
46,17850012
47,17850268
48,18183543
49,18343473
50,18470677
51,18956041
52,19351120
53,19396079
54,19401409
55,19461979
56,19624691
57,19765005
58,19904805
59,20244205
60,20352155
61,20788139
62,21128914
63,21165967
64,21406735
65,21463619
66,21625645
67,21842565
68,22052371
69,22545389
70,22604125
71,22606755
72,22832829
73,23231036
74,23662170
75,23843209
76,23967016
77,24299336
78,24640763
79,25389502
80,25731254
81,25982406
82,26384168
83,26434364
84,27568464
85,27713882
86,28777454
87,29089902
88,29650713
89,30336759
90,30412906
91,30507566
92,32267384
93,32556315
94,32706038
95,34133492
96,34339684
97,34689856
98,35329667
99,36038057
100,36727137
101,36883116
102,37527239
103,38359577
104,3898371
105,3936591
106,41160904
107,41905556
108,42128261
109,5640632
110,5644032
111,5988422
112,6601682
113,6898072
114,6963532
115,7396282
116,7694572
117,8521542
118,8755252
119,8828892
120,9517462
