community_id,community_size
0,442
1,282
2,342
3,69
4,86
5,46
6,24
7,203
8,70
9,106
10,232
11,2
12,3
13,63
14,73
15,5
16,19
17,69
18,229
19,181
20,117
21,57
22,89
23,4
24,339
25,25
26,2
27,112
28,3
29,95
30,67
31,2
32,2
33,3
34,2
35,38
36,2
37,3
38,36
39,2
40,2
41,2
42,2
43,2
44,2
45,2
46,2
47,2
48,6
49,2
50,2
51,6
52,2
53,3
54,2
55,2
56,2
57,2
58,2
59,2
60,4
61,3
62,2
63,2
64,5
65,3
66,2
67,2
68,3
69,3
70,2
71,2
72,2
73,2
74,2
75,4
76,2
77,2
78,4
79,2
80,3
81,2
82,2
83,4
84,3
85,3
86,2
87,12
88,2
89,2
90,2
91,2
92,2
93,2
94,2
95,2
96,3
97,2
98,2
99,2
100,2
101,3
102,5
103,2
104,2
105,2
106,9
107,2
108,2
109,3
110,2
111,2
112,2
113,2
114,3
115,2
116,2
117,2
