community_id,community_size
0,489
1,96
2,323
3,86
4,99
5,24
6,221
7,57
8,124
9,2
10,3
11,69
12,256
13,19
14,225
15,118
16,191
17,47
18,78
19,66
20,4
21,322
22,67
23,36
24,2
25,68
26,41
27,3
28,34
29,75
30,2
31,2
32,63
33,3
34,4
35,2
36,41
37,197
38,2
39,3
40,2
41,2
42,2
43,2
44,2
45,2
46,2
47,2
48,2
49,6
50,2
51,2
52,6
53,2
54,3
55,2
56,2
57,2
58,2
59,2
60,2
61,4
62,3
63,2
64,2
65,3
66,2
67,2
68,3
69,3
70,2
71,2
72,2
73,2
74,2
75,4
76,2
77,2
78,4
79,2
80,3
81,2
82,2
83,4
84,3
85,3
86,2
87,2
88,2
89,2
90,2
91,2
92,2
93,2
94,2
95,3
96,2
97,2
98,2
99,2
100,3
101,5
102,2
103,2
104,2
105,9
106,2
107,2
108,2
109,2
110,2
111,2
112,3
113,2
114,2
115,2
